tenure,InternetService,OnlineSecurity,TechSupport,Contract,MonthlyCharges,Churn
41,DSL,Yes,No,One year,35.4,No
51,Fiber optic,No,No,One year,79.6,No
41,Fiber optic,No,No,Month-to-month,80.25,No
1,DSL,No,No,Month-to-month,50.45,Yes
2,No,No internet service,No internet service,Month-to-month,20.45,No
68,Fiber optic,No,No,One year,79.6,No
24,No,No internet service,No internet service,Two year,24.7,No
70,DSL,Yes,Yes,Two year,77.3,No
3,DSL,No,Yes,Month-to-month,29.75,No
2,DSL,No,No,Month-to-month,44.9,No
3,DSL,No,No,Month-to-month,29.8,No
7,DSL,No,Yes,Month-to-month,74.65,Yes
13,DSL,Yes,No,Month-to-month,71.95,No
7,No,No internet service,No internet service,Month-to-month,20.75,No
12,DSL,No,No,Month-to-month,56.3,No
53,Fiber optic,No,No,One year,105.25,No
12,Fiber optic,No,No,Month-to-month,94.2,Yes
63,No,No internet service,No internet service,Two year,19.55,No
15,DSL,Yes,Yes,Month-to-month,84.45,No
36,DSL,Yes,No,One year,53.65,No
4,DSL,No,No,Month-to-month,29.9,No
24,No,No internet service,No internet service,Two year,19.7,No
61,DSL,Yes,Yes,One year,43.7,No
16,DSL,No,No,Month-to-month,55.3,No
65,No,No internet service,No internet service,Two year,19.85,No
26,No,No internet service,No internet service,Two year,19.65,No
16,DSL,No,Yes,Month-to-month,49.45,No
54,Fiber optic,Yes,No,One year,106.55,Yes
1,No,No internet service,No internet service,Month-to-month,20.1,Yes
5,No,No internet service,No internet service,Two year,20.45,No
19,DSL,No,No,Month-to-month,39.7,No
10,DSL,Yes,No,Month-to-month,54.5,No
23,Fiber optic,No,Yes,Month-to-month,83.8,Yes
3,DSL,No,No,Month-to-month,55.15,Yes
72,Fiber optic,No,Yes,Two year,111.6,No
10,Fiber optic,No,No,Month-to-month,86.65,Yes
10,DSL,No,No,Month-to-month,55.55,No
11,No,No internet service,No internet service,One year,20.55,No
37,Fiber optic,Yes,No,Month-to-month,106.75,Yes
17,DSL,Yes,Yes,One year,62.1,No
36,Fiber optic,Yes,No,Month-to-month,104.5,No
17,Fiber optic,No,No,Month-to-month,101.8,No
66,Fiber optic,Yes,Yes,One year,110.6,No
61,DSL,Yes,Yes,One year,84.9,No
22,Fiber optic,No,No,Month-to-month,93.2,No
1,DSL,No,No,Month-to-month,24.4,No
6,Fiber optic,No,No,Month-to-month,70.55,No
31,Fiber optic,No,Yes,Month-to-month,78.45,Yes
68,DSL,Yes,Yes,Two year,85,No
34,Fiber optic,No,No,Month-to-month,87.45,Yes
52,Fiber optic,No,Yes,Month-to-month,85.8,No
10,Fiber optic,No,Yes,Month-to-month,91.1,No
29,Fiber optic,No,No,Month-to-month,70.75,Yes
72,No,No internet service,No internet service,Two year,20.1,No
47,No,No internet service,No internet service,One year,20.05,No
24,DSL,Yes,No,One year,74.8,No
65,No,No internet service,No internet service,One year,24.8,No
4,Fiber optic,No,Yes,Month-to-month,100.85,No
12,Fiber optic,No,No,Month-to-month,101.35,Yes
1,Fiber optic,Yes,No,Month-to-month,81.7,Yes
33,Fiber optic,No,No,Month-to-month,68.25,Yes
34,Fiber optic,No,Yes,Month-to-month,105.1,No
14,No,No internet service,No internet service,Two year,20.4,No
4,Fiber optic,No,No,Month-to-month,79.15,Yes
13,No,No internet service,No internet service,One year,20,No
65,DSL,No,Yes,Two year,79.4,No
23,DSL,Yes,Yes,One year,57.2,No
55,DSL,Yes,No,Two year,58.6,No
49,Fiber optic,No,No,Two year,94.8,No
60,Fiber optic,No,No,One year,102.5,No
69,No,No internet service,No internet service,One year,20.35,No
40,Fiber optic,No,No,Month-to-month,84.9,No
67,DSL,Yes,Yes,Two year,69.2,No
35,Fiber optic,No,No,Month-to-month,95.45,Yes
19,Fiber optic,No,Yes,One year,100.95,Yes
13,No,No internet service,No internet service,Two year,20.85,No
41,Fiber optic,No,No,Month-to-month,88.5,No
4,DSL,Yes,No,Month-to-month,35,No
24,DSL,Yes,Yes,Month-to-month,55.15,No
5,DSL,No,No,Month-to-month,50.95,No
5,DSL,No,No,Month-to-month,64,No
1,Fiber optic,No,No,Month-to-month,69.1,Yes
72,DSL,Yes,Yes,Two year,80.2,No
24,DSL,No,No,Month-to-month,49.3,No
42,DSL,Yes,Yes,Two year,84.35,No
4,No,No internet service,No internet service,Month-to-month,20.05,No
68,Fiber optic,Yes,Yes,One year,117.2,No
33,No,No internet service,No internet service,One year,20.1,No
1,Fiber optic,No,No,Month-to-month,69.6,Yes
31,Fiber optic,No,No,One year,103.45,Yes
4,Fiber optic,No,No,Month-to-month,77.95,Yes
69,Fiber optic,No,Yes,Two year,109.95,No
38,Fiber optic,No,No,Month-to-month,94.75,No
3,Fiber optic,No,Yes,Month-to-month,80,No
48,DSL,No,Yes,Two year,79.65,No
15,No,No internet service,No internet service,Two year,25.2,No
25,No,No internet service,No internet service,One year,19.9,No
1,Fiber optic,No,No,Month-to-month,78.45,Yes
48,DSL,Yes,No,Month-to-month,44.8,No
1,No,No internet service,No internet service,Month-to-month,20.3,No
1,No,No internet service,No internet service,Month-to-month,19.2,No
37,Fiber optic,No,No,One year,80.05,No
66,Fiber optic,No,Yes,One year,107.35,No
26,DSL,Yes,No,One year,47.85,No
63,DSL,Yes,Yes,One year,70.8,No
10,DSL,No,No,Month-to-month,29.5,Yes
2,DSL,Yes,No,Month-to-month,70.75,Yes
18,DSL,Yes,No,Month-to-month,59.1,No
64,No,No internet service,No internet service,Two year,25.55,No
9,Fiber optic,No,No,Month-to-month,84.45,Yes
28,No,No internet service,No internet service,Month-to-month,20.25,No
1,Fiber optic,No,No,Month-to-month,75.55,No
4,Fiber optic,No,No,Month-to-month,85.65,Yes
38,DSL,No,Yes,One year,70.15,Yes
66,Fiber optic,No,No,One year,95.3,No
1,Fiber optic,No,No,Month-to-month,70.25,No
18,DSL,No,Yes,Month-to-month,50.3,No
51,Fiber optic,No,No,Month-to-month,97.8,Yes
0,No,No internet service,No internet service,Two year,19.85,No
1,DSL,No,No,Month-to-month,46.3,Yes
12,No,No internet service,No internet service,Two year,19.35,No
41,Fiber optic,No,No,Month-to-month,106.3,Yes
12,No,No internet service,No internet service,Month-to-month,25,No
55,No,No internet service,No internet service,Two year,20.3,No
7,Fiber optic,No,No,Month-to-month,75.35,No
12,Fiber optic,No,Yes,Month-to-month,89.4,Yes
68,DSL,Yes,Yes,Two year,88,No
5,Fiber optic,No,No,Month-to-month,83.15,Yes
49,DSL,No,No,Month-to-month,43.8,No
40,DSL,Yes,No,One year,62.05,No
16,No,No internet service,No internet service,One year,20.1,No
10,Fiber optic,No,No,Month-to-month,74.15,Yes
72,Fiber optic,No,No,One year,101.35,No
2,Fiber optic,No,No,Month-to-month,84.05,No
23,No,No internet service,No internet service,Two year,20.9,No
71,Fiber optic,No,No,One year,105.9,No
11,Fiber optic,No,No,Month-to-month,99.5,Yes
1,DSL,No,No,Month-to-month,44.15,Yes
16,DSL,No,Yes,Month-to-month,53.9,Yes
1,Fiber optic,No,No,Month-to-month,85.45,Yes
12,Fiber optic,No,No,Month-to-month,85.05,No
54,DSL,Yes,Yes,One year,44.1,No
68,Fiber optic,No,Yes,Two year,90.2,No
4,DSL,No,No,Month-to-month,50.85,Yes
1,DSL,No,No,Month-to-month,59.2,Yes
27,DSL,Yes,Yes,Month-to-month,53.45,No
21,No,No internet service,No internet service,Month-to-month,19.95,No
13,Fiber optic,No,No,Month-to-month,83.2,Yes
64,DSL,No,Yes,Month-to-month,74.65,No
1,DSL,Yes,No,Month-to-month,54.9,Yes
57,DSL,No,Yes,Two year,57.5,No
21,Fiber optic,Yes,No,Month-to-month,103.9,Yes
19,No,No internet service,No internet service,Two year,19.65,No
31,Fiber optic,No,No,One year,93.8,No
52,DSL,Yes,Yes,Two year,89.25,No
46,Fiber optic,No,No,One year,94.15,No
11,DSL,Yes,No,Month-to-month,55.6,No
53,DSL,Yes,No,Month-to-month,48.7,No
11,No,No internet service,No internet service,Month-to-month,19.25,Yes
57,Fiber optic,No,Yes,Month-to-month,104.9,No
2,Fiber optic,No,No,Month-to-month,75.45,Yes
2,DSL,Yes,No,Month-to-month,54.85,Yes
71,No,No internet service,No internet service,Two year,19.9,No
1,No,No internet service,No internet service,Month-to-month,19.4,No
68,No,No internet service,No internet service,Two year,25.05,No
72,DSL,Yes,Yes,Two year,84.45,No
2,No,No internet service,No internet service,Month-to-month,19.3,No
1,Fiber optic,No,No,Month-to-month,95.1,Yes
41,DSL,Yes,Yes,One year,79.85,No
72,No,No internet service,No internet service,Two year,25.55,No
6,Fiber optic,No,No,Month-to-month,75.5,Yes
4,Fiber optic,No,No,Month-to-month,73.75,Yes
12,Fiber optic,No,No,Month-to-month,96.05,Yes
58,DSL,Yes,Yes,One year,68.4,No
7,No,No internet service,No internet service,Month-to-month,20.65,No
65,DSL,Yes,No,Month-to-month,55.15,No
1,Fiber optic,No,No,Month-to-month,70.6,No
56,No,No internet service,No internet service,One year,19.95,No
4,No,No internet service,No internet service,Month-to-month,19,No
58,DSL,No,No,One year,44.1,No
62,Fiber optic,No,Yes,Two year,107.6,No
26,DSL,Yes,No,One year,61.55,No
62,Fiber optic,Yes,No,Month-to-month,90.7,No
58,Fiber optic,Yes,No,One year,99.25,No
68,DSL,Yes,Yes,Two year,91.7,No
61,Fiber optic,Yes,No,One year,100.7,No
42,DSL,No,Yes,Two year,78.45,No
18,Fiber optic,No,No,Month-to-month,84.3,No
56,No,No internet service,No internet service,Two year,19.55,No
4,Fiber optic,No,No,Month-to-month,88.95,Yes
4,No,No internet service,No internet service,Month-to-month,20.45,No
35,DSL,Yes,No,One year,55.6,No
64,Fiber optic,Yes,Yes,Month-to-month,86.8,No
31,No,No internet service,No internet service,One year,20.95,No
67,No,No internet service,No internet service,Two year,20.05,No
4,DSL,No,No,Month-to-month,50.7,Yes
70,Fiber optic,Yes,Yes,Two year,113.65,No
3,DSL,No,No,Month-to-month,53.4,Yes
53,Fiber optic,No,No,Month-to-month,101.9,Yes
2,DSL,Yes,Yes,Two year,59.5,No
29,Fiber optic,No,No,Month-to-month,87.8,No
47,DSL,Yes,Yes,Two year,41.9,No
68,Fiber optic,No,No,One year,83,Yes
12,DSL,Yes,No,Month-to-month,69.85,No
8,DSL,No,Yes,Month-to-month,56.3,No
54,Fiber optic,Yes,No,Month-to-month,109.55,No
69,Fiber optic,No,Yes,Two year,92.15,No
26,DSL,Yes,No,Month-to-month,69.5,No
72,Fiber optic,Yes,Yes,Two year,97,No
70,DSL,Yes,Yes,Two year,58.35,No
1,DSL,Yes,No,Month-to-month,50.6,Yes
10,Fiber optic,No,No,Month-to-month,89.5,Yes
28,Fiber optic,No,No,One year,70.4,No
1,Fiber optic,No,No,Month-to-month,69.8,Yes
21,Fiber optic,No,No,Month-to-month,94.3,No
51,Fiber optic,Yes,No,Month-to-month,93.8,Yes
53,No,No internet service,No internet service,One year,19.55,No
53,Fiber optic,Yes,No,One year,95.95,No
24,Fiber optic,No,No,Month-to-month,101.05,Yes
70,DSL,Yes,Yes,Two year,94.8,No
61,Fiber optic,Yes,No,One year,107.75,No
11,DSL,Yes,Yes,One year,54.6,No
2,Fiber optic,No,No,Month-to-month,71.3,No
25,No,No internet service,No internet service,One year,19.5,No
41,DSL,No,No,One year,56.3,No
18,Fiber optic,No,No,Month-to-month,94.7,Yes
72,Fiber optic,No,No,Two year,104.15,Yes
71,DSL,Yes,Yes,Two year,90.55,No
34,DSL,Yes,No,One year,60.8,No
29,Fiber optic,No,Yes,Month-to-month,98.8,No
40,Fiber optic,Yes,Yes,One year,98.15,No
36,DSL,Yes,No,One year,35.35,No
46,Fiber optic,No,Yes,One year,103.15,No
58,Fiber optic,Yes,No,One year,107.75,No
39,Fiber optic,No,No,One year,81.4,No
4,DSL,No,Yes,Month-to-month,61.45,Yes
52,Fiber optic,No,No,One year,95.7,No
70,Fiber optic,No,No,One year,104.8,No
65,Fiber optic,No,No,One year,70.95,No
1,DSL,No,No,Month-to-month,44.95,No
70,Fiber optic,No,No,One year,97.65,No
29,DSL,No,No,Month-to-month,35.65,No
1,Fiber optic,No,No,Month-to-month,90.55,Yes
67,DSL,Yes,Yes,Two year,85.25,No
1,No,No internet service,No internet service,Month-to-month,19.5,No
26,Fiber optic,No,No,Month-to-month,88.8,Yes
30,No,No internet service,No internet service,Two year,25.1,No
48,Fiber optic,No,Yes,Month-to-month,100.05,No
55,DSL,Yes,No,Month-to-month,55.7,No
7,Fiber optic,No,No,Month-to-month,85.2,Yes
37,Fiber optic,Yes,No,Month-to-month,91.15,No
31,Fiber optic,No,No,Month-to-month,83.85,No
4,DSL,No,No,Month-to-month,45.9,No
72,No,No internet service,No internet service,Two year,25.1,No
5,Fiber optic,No,No,Month-to-month,91.4,Yes
1,No,No internet service,No internet service,Month-to-month,19.7,No
15,Fiber optic,No,No,Month-to-month,91.5,No
8,DSL,Yes,No,Month-to-month,51.3,No
35,No,No internet service,No internet service,One year,21.1,No
56,Fiber optic,No,No,Month-to-month,104.75,No
42,Fiber optic,No,Yes,Month-to-month,106.15,Yes
65,Fiber optic,Yes,No,Month-to-month,85.75,No
2,No,No internet service,No internet service,One year,20.3,No
65,Fiber optic,Yes,No,One year,100.75,No
18,Fiber optic,No,No,Month-to-month,74.15,No
23,DSL,Yes,No,One year,78.55,No
4,DSL,No,No,Month-to-month,45.3,Yes
70,No,No internet service,No internet service,Two year,19.85,No
4,DSL,No,No,Month-to-month,50.7,No
19,DSL,No,No,Month-to-month,45,No
18,Fiber optic,No,No,Month-to-month,77.8,No
38,Fiber optic,Yes,No,Month-to-month,83.45,No
2,Fiber optic,No,No,Month-to-month,73.25,Yes
47,Fiber optic,Yes,No,One year,94.8,No
52,No,No internet service,No internet service,Two year,20.1,No
9,DSL,No,No,Month-to-month,59.9,No
26,DSL,Yes,Yes,One year,90.1,No
8,DSL,No,No,Month-to-month,51.05,Yes
44,DSL,No,Yes,One year,70.95,No
3,DSL,No,No,Month-to-month,29.2,No
2,DSL,No,No,Month-to-month,46.6,No
9,Fiber optic,No,No,Month-to-month,85.35,Yes
1,Fiber optic,No,No,Month-to-month,75.35,Yes
25,Fiber optic,Yes,No,Month-to-month,74.3,No
2,Fiber optic,No,No,Month-to-month,69.3,No
43,Fiber optic,Yes,No,Month-to-month,75.2,Yes
1,No,No internet service,No internet service,Month-to-month,20.9,Yes
58,Fiber optic,No,No,One year,94.3,No
59,DSL,Yes,Yes,Two year,76.45,No
44,DSL,Yes,No,One year,54,No
66,Fiber optic,No,Yes,One year,104.25,No
68,No,No internet service,No internet service,Two year,19.95,No
9,DSL,No,No,Month-to-month,24.95,No
19,Fiber optic,Yes,No,Month-to-month,84.75,No
4,No,No internet service,No internet service,Month-to-month,19.75,No
70,Fiber optic,Yes,Yes,Two year,113.65,No
1,DSL,No,No,Month-to-month,44.9,No
8,Fiber optic,No,No,Month-to-month,75.25,No
53,No,No internet service,No internet service,Two year,24.6,No
51,No,No internet service,No internet service,One year,25,No
11,No,No internet service,No internet service,Month-to-month,20.95,No
60,Fiber optic,Yes,Yes,Two year,110.6,No
17,DSL,Yes,No,Month-to-month,55.5,No
3,DSL,No,No,Month-to-month,43.3,Yes
70,Fiber optic,Yes,Yes,One year,109.5,Yes
1,No,No internet service,No internet service,Month-to-month,19.45,No
43,Fiber optic,No,No,Month-to-month,84.85,No
16,No,No internet service,No internet service,Month-to-month,19.6,No
57,DSL,Yes,No,One year,53.45,No
37,No,No internet service,No internet service,One year,19.8,No
72,Fiber optic,Yes,Yes,Two year,112.1,No
11,Fiber optic,No,No,Month-to-month,84.8,Yes
50,Fiber optic,No,No,Month-to-month,95.05,Yes
5,DSL,No,No,Month-to-month,50.35,Yes
1,Fiber optic,No,No,Month-to-month,74.6,Yes
16,No,No internet service,No internet service,Month-to-month,19.7,Yes
2,Fiber optic,No,No,Month-to-month,74.2,No
17,DSL,No,Yes,Month-to-month,69,No
16,No,No internet service,No internet service,One year,19.35,No
15,DSL,No,No,Month-to-month,59.45,Yes
10,No,No internet service,No internet service,One year,19.8,No
46,Fiber optic,Yes,Yes,One year,105.2,Yes
64,Fiber optic,No,Yes,Two year,109.2,No
1,Fiber optic,No,No,Month-to-month,79.15,No
25,DSL,No,No,One year,53.65,No
71,Fiber optic,Yes,Yes,Two year,100.2,No
8,DSL,No,No,Month-to-month,45.15,Yes
72,Fiber optic,Yes,Yes,Two year,108.65,No
49,DSL,Yes,No,Month-to-month,40.65,No
29,DSL,Yes,Yes,One year,55.35,No
72,Fiber optic,Yes,Yes,Two year,105.6,No
31,Fiber optic,No,No,Month-to-month,93.8,Yes
50,Fiber optic,No,No,Month-to-month,95.7,No
71,DSL,Yes,Yes,Two year,83.2,No
70,DSL,Yes,Yes,Two year,90.05,No
71,Fiber optic,Yes,Yes,One year,97.65,No
61,DSL,Yes,Yes,Two year,68.05,No
32,Fiber optic,No,Yes,Month-to-month,96.2,Yes
1,Fiber optic,No,No,Month-to-month,79.6,Yes
68,Fiber optic,Yes,No,Two year,102.1,No
62,No,No internet service,No internet service,Two year,23.4,No
7,Fiber optic,No,No,Month-to-month,71.05,No
20,Fiber optic,No,No,Month-to-month,85.25,Yes
6,No,No internet service,No internet service,One year,19.45,No
33,DSL,Yes,No,Month-to-month,59.45,No
28,Fiber optic,No,No,One year,92.2,No
27,No,No internet service,No internet service,Two year,19.85,No
7,DSL,No,No,Month-to-month,43.9,No
26,Fiber optic,No,Yes,Month-to-month,80.5,Yes
5,Fiber optic,No,No,Month-to-month,89.8,Yes
30,Fiber optic,Yes,No,Month-to-month,90.5,No
63,Fiber optic,No,No,One year,90.45,No
1,DSL,No,No,Month-to-month,50.75,Yes
53,DSL,No,Yes,One year,84.6,No
14,Fiber optic,No,Yes,Month-to-month,89.65,Yes
21,Fiber optic,No,Yes,Month-to-month,99.15,No
17,No,No internet service,No internet service,One year,19.95,No
16,No,No internet service,No internet service,Two year,20.5,No
35,DSL,No,No,Month-to-month,62.1,No
32,Fiber optic,No,No,Month-to-month,79.5,No
28,No,No internet service,No internet service,Month-to-month,19.55,No
1,No,No internet service,No internet service,Month-to-month,20.35,No
59,DSL,No,Yes,Month-to-month,51.7,No
72,No,No internet service,No internet service,One year,23.3,No
36,DSL,No,Yes,One year,65.4,Yes
40,DSL,Yes,No,Month-to-month,65.1,No
40,Fiber optic,No,No,Month-to-month,81.2,No
9,DSL,No,Yes,Month-to-month,72.9,Yes
63,DSL,Yes,Yes,Two year,74.5,No
3,Fiber optic,No,No,Month-to-month,80.5,No
40,DSL,No,Yes,One year,60.3,No
8,Fiber optic,Yes,No,Month-to-month,75,No
34,Fiber optic,Yes,Yes,One year,90.15,No
5,DSL,Yes,Yes,Month-to-month,40,Yes
9,Fiber optic,No,No,Month-to-month,99.45,Yes
9,DSL,No,No,Month-to-month,69.05,No
31,DSL,No,No,Month-to-month,59.7,No
50,No,No internet service,No internet service,One year,19.85,No
2,Fiber optic,Yes,Yes,Month-to-month,86.25,Yes
1,DSL,No,No,Month-to-month,45.65,Yes
8,Fiber optic,No,No,Month-to-month,70.1,Yes
9,DSL,No,No,Month-to-month,40.75,No
2,Fiber optic,No,No,Month-to-month,70.2,Yes
3,DSL,Yes,No,Month-to-month,55.35,Yes
25,Fiber optic,No,Yes,Month-to-month,95.7,No
1,DSL,No,No,Month-to-month,46.3,No
45,DSL,Yes,Yes,Month-to-month,81.3,No
51,Fiber optic,No,No,Month-to-month,84.2,Yes
55,No,No internet service,No internet service,Month-to-month,20,No
38,DSL,Yes,No,Month-to-month,66.15,No
2,DSL,No,No,Month-to-month,45.85,Yes
38,No,No internet service,No internet service,Month-to-month,19.6,No
34,DSL,No,No,Month-to-month,49.8,No
70,Fiber optic,No,No,One year,101.75,No
13,DSL,Yes,Yes,One year,55.15,No
39,Fiber optic,No,No,Month-to-month,75.25,Yes
61,Fiber optic,No,No,One year,103.95,No
12,Fiber optic,No,No,Month-to-month,100.15,Yes
41,Fiber optic,No,Yes,Two year,99.65,No
21,Fiber optic,No,No,Month-to-month,73.7,No
55,DSL,No,No,One year,50.05,No
69,DSL,Yes,Yes,Two year,60.25,No
26,Fiber optic,No,No,Month-to-month,105.75,Yes
69,Fiber optic,Yes,No,One year,87.3,No
18,DSL,No,No,Month-to-month,48.35,Yes
47,DSL,No,No,Month-to-month,54.25,No
72,DSL,Yes,Yes,Two year,85.3,No
33,DSL,No,Yes,Month-to-month,50,No
2,DSL,No,No,Month-to-month,24.4,Yes
72,DSL,Yes,Yes,Two year,90.95,No
37,Fiber optic,No,No,Month-to-month,72.25,No
62,Fiber optic,No,No,Month-to-month,96.1,No
71,No,No internet service,No internet service,Two year,19.85,No
23,DSL,No,Yes,Month-to-month,55.3,No
16,No,No internet service,No internet service,One year,20.1,No
9,DSL,Yes,Yes,Month-to-month,69.5,No
17,No,No internet service,No internet service,Two year,25.15,No
4,No,No internet service,No internet service,Month-to-month,20.95,Yes
1,DSL,Yes,No,Month-to-month,49.55,Yes
24,Fiber optic,No,No,Month-to-month,79.65,No
1,Fiber optic,No,No,Month-to-month,71.25,No
72,Fiber optic,Yes,Yes,Two year,113.8,No
72,No,No internet service,No internet service,Two year,24.55,No
11,No,No internet service,No internet service,Month-to-month,19.7,No
9,No,No internet service,No internet service,Month-to-month,20.25,Yes
2,DSL,No,No,Month-to-month,50.15,Yes
60,Fiber optic,No,No,One year,100.5,No
29,Fiber optic,No,No,Month-to-month,95.9,Yes
49,DSL,No,Yes,Two year,74.45,No
30,Fiber optic,No,No,Month-to-month,104.1,No
53,No,No internet service,No internet service,One year,19.05,No
39,No,No internet service,No internet service,Two year,25,No
9,No,No internet service,No internet service,Month-to-month,19.05,No
39,Fiber optic,No,Yes,One year,81.9,No
8,Fiber optic,No,No,Month-to-month,69.7,No
51,Fiber optic,No,No,One year,90.15,No
71,No,No internet service,No internet service,Two year,25.35,No
71,No,No internet service,No internet service,Two year,24.65,No
70,No,No internet service,No internet service,Two year,19.55,No
1,DSL,No,No,Month-to-month,25.25,Yes
38,DSL,Yes,Yes,Two year,60,No
28,Fiber optic,No,No,Month-to-month,89.9,No
32,No,No internet service,No internet service,Month-to-month,19.4,No
49,DSL,No,No,Two year,49.8,No
37,No,No internet service,No internet service,Two year,24.1,No
10,DSL,No,Yes,Month-to-month,54.25,No
67,Fiber optic,Yes,No,One year,109.9,No
7,DSL,No,Yes,One year,35.5,No
51,Fiber optic,No,No,One year,87.55,No
9,DSL,No,No,Month-to-month,45.15,Yes
9,Fiber optic,No,No,Month-to-month,88.4,No
4,DSL,No,Yes,Month-to-month,50.8,No
71,Fiber optic,Yes,No,Two year,99,No
50,Fiber optic,No,No,Month-to-month,84.4,Yes
24,Fiber optic,No,No,Two year,96.55,No
22,DSL,Yes,No,One year,59.75,No
44,Fiber optic,Yes,No,Month-to-month,111.5,No
33,No,No internet service,No internet service,Month-to-month,24.25,No
1,Fiber optic,No,No,Month-to-month,75.1,Yes
54,DSL,No,No,One year,70.15,Yes
42,Fiber optic,No,No,Month-to-month,101.75,Yes
1,DSL,No,No,Month-to-month,45.8,Yes
1,No,No internet service,No internet service,Month-to-month,20.5,No
30,DSL,Yes,Yes,One year,70.4,No
1,DSL,No,Yes,Month-to-month,30.55,No
16,DSL,Yes,Yes,Month-to-month,84.9,No
1,No,No internet service,No internet service,Month-to-month,20.1,Yes
9,DSL,No,Yes,Month-to-month,40.65,Yes
46,Fiber optic,No,No,Month-to-month,101,Yes
1,Fiber optic,No,No,Month-to-month,69.1,Yes
71,DSL,Yes,Yes,Two year,54.5,No
43,Fiber optic,No,No,Month-to-month,75.35,No
50,DSL,Yes,Yes,One year,44.45,No
13,Fiber optic,No,No,Month-to-month,75,Yes
19,Fiber optic,No,Yes,One year,100,Yes
41,Fiber optic,No,No,Month-to-month,98.05,No
1,Fiber optic,No,No,Month-to-month,71.15,Yes
24,DSL,No,No,Month-to-month,54.15,Yes
40,DSL,No,No,One year,63.9,No
3,DSL,No,No,Month-to-month,69.15,No
37,DSL,Yes,No,One year,64.65,No
67,Fiber optic,Yes,Yes,Two year,108.75,Yes
32,Fiber optic,No,No,Month-to-month,98.85,No
6,DSL,No,Yes,Month-to-month,49.15,Yes
32,Fiber optic,Yes,No,Month-to-month,89.6,No
59,Fiber optic,No,No,Month-to-month,83.25,No
30,DSL,No,Yes,One year,70.25,No
20,No,No internet service,No internet service,Month-to-month,19.4,Yes
27,No,No internet service,No internet service,Two year,24.5,No
20,Fiber optic,Yes,No,Month-to-month,79.15,Yes
9,No,No internet service,No internet service,One year,20.1,No
68,DSL,Yes,No,One year,73,No
69,DSL,Yes,Yes,Two year,61.4,No
26,Fiber optic,No,Yes,Month-to-month,84.3,No
69,No,No internet service,No internet service,Two year,19.9,No
11,No,No internet service,No internet service,Two year,20.4,No
1,DSL,No,No,Month-to-month,50.75,No
10,No,No internet service,No internet service,One year,20.45,No
55,DSL,Yes,Yes,One year,75.75,No
44,DSL,Yes,Yes,One year,65.4,No
46,Fiber optic,No,No,Month-to-month,80.4,Yes
69,DSL,Yes,No,Two year,59.75,No
11,Fiber optic,No,No,Month-to-month,78.5,No
11,Fiber optic,No,No,Month-to-month,102,Yes
29,DSL,No,No,Month-to-month,48.95,No
57,Fiber optic,Yes,No,Month-to-month,99.65,No
28,No,No internet service,No internet service,One year,18.25,No
42,DSL,Yes,No,Month-to-month,54.55,No
2,No,No internet service,No internet service,Month-to-month,20.65,Yes
23,DSL,Yes,Yes,One year,40.65,No
18,No,No internet service,No internet service,Month-to-month,20.45,No
62,No,No internet service,No internet service,One year,24.8,No
1,Fiber optic,No,No,Month-to-month,70.8,Yes
16,Fiber optic,No,Yes,Month-to-month,89.05,Yes
3,Fiber optic,No,No,Month-to-month,96.6,Yes
67,DSL,Yes,Yes,One year,88.8,No
62,No,No internet service,No internet service,Two year,20.05,No
57,Fiber optic,No,No,Month-to-month,104.5,Yes
2,Fiber optic,No,No,Month-to-month,69.8,No
23,DSL,Yes,Yes,Two year,77.15,No
25,DSL,Yes,Yes,Two year,35.05,No
72,Fiber optic,No,Yes,Two year,108.1,No
2,Fiber optic,No,No,Month-to-month,84.05,No
8,No,No internet service,No internet service,One year,20.2,No
5,DSL,No,No,Month-to-month,50.6,Yes
35,DSL,No,No,Month-to-month,49.2,No
24,No,No internet service,No internet service,One year,24.6,No
2,Fiber optic,No,No,Month-to-month,71.65,No
72,Fiber optic,Yes,Yes,Two year,104.9,No
41,Fiber optic,Yes,Yes,Month-to-month,106.5,No
4,DSL,Yes,No,Month-to-month,49.35,Yes
26,Fiber optic,No,No,One year,75.5,No
7,Fiber optic,No,No,Month-to-month,94.25,Yes
1,Fiber optic,No,No,Month-to-month,68.95,Yes
4,DSL,No,Yes,Month-to-month,58.5,No
48,DSL,No,Yes,Two year,78.9,No
2,Fiber optic,No,No,Month-to-month,93.85,Yes
12,DSL,Yes,Yes,One year,79.2,No
60,Fiber optic,Yes,Yes,Month-to-month,109.45,No
55,DSL,Yes,Yes,Two year,59.2,No
1,DSL,No,Yes,Month-to-month,29.15,No
1,No,No internet service,No internet service,Month-to-month,20.05,No
4,Fiber optic,No,No,Month-to-month,76.05,Yes
1,DSL,No,No,Month-to-month,24.45,Yes
42,DSL,No,Yes,Two year,66.5,No
1,DSL,Yes,No,Month-to-month,49.55,No
7,Fiber optic,No,No,Month-to-month,89.35,Yes
3,Fiber optic,No,No,Month-to-month,73.6,No
72,DSL,Yes,No,Two year,82.65,No
15,DSL,No,No,Month-to-month,49,No
4,Fiber optic,No,No,Month-to-month,80.35,Yes
11,No,No internet service,No internet service,One year,25.2,No
5,No,No internet service,No internet service,Month-to-month,25.45,No
1,DSL,Yes,No,Month-to-month,55.8,Yes
72,Fiber optic,Yes,Yes,Two year,110.9,No
